Id,awards_won,first_award,,
174,7,TVStars,,
175,2,IIFA,,
176,6,National Award,,
177,5,Grammy,,
178,5,National Award,,
179,3,TVStars,,
180,5,IITA,,
181,1,Oscar,,
182,4,Grammy,,
183,7,IIFA,,
184,0,FilmFare,,
185,8,FilmFare,,
186,3,Grammy,,
187,4,CANNES,,
188,4,IITA,,
189,3,Emmy,,
190,7,IITA,,
191,7,Oscar,,
192,4,Emmy,,
193,7,IIFA,,
194,8,IIFA,,
195,5,Oscar,,
196,2,FilmFare,,
197,6,Emmy,,
198,1,TVStars,,
199,2,CANNES,,
200,1,FilmFare,,
201,4,TVStars,,
202,1,IITA,,
203,3,IITA,,
204,3,Oscar,,
205,8,CANNES,,
206,0,CANNES,,
207,0,Oscar,,
208,4,National Award,,
209,6,CANNES,,
210,3,Oscar,,
211,0,TVStars,,
212,3,FilmFare,,
213,7,Grammy,,
214,6,Oscar,,
215,6,National Award,,
216,5,IIFA,,
217,0,CANNES,,
218,2,Grammy,,
219,2,FilmFare,,
220,5,National Award,,
221,0,Grammy,,
222,6,Emmy,,
223,2,IIFA,,
224,8,Oscar,,
225,3,IITA,,
226,8,Emmy,,
227,6,Oscar,,
228,7,TVStars,,
229,5,TVStars,,
230,3,Grammy,,
231,8,CANNES,,
232,6,IIFA,,
233,2,FilmFare,,
234,3,FilmFare,,
235,8,TVStars,,
236,8,Emmy,,
237,1,Oscar,,
238,2,IITA,,
239,4,FilmFare,,
240,1,TVStars,,
241,3,FilmFare,,
242,4,National Award,,
243,0,Grammy,,
244,5,FilmFare,,
245,3,IITA,,
246,2,FilmFare,,
247,1,FilmFare,,
248,1,IIFA,,
249,7,FilmFare,,
250,0,FilmFare,,
251,5,IITA,,
252,2,Grammy,,
253,4,Emmy,,
254,8,Grammy,,
255,7,CANNES,,
256,4,Grammy,,
257,8,IITA,,
258,4,Emmy,,
259,7,Oscar,,
260,6,TVStars,,
261,6,IIFA,,
262,0,National Award,,
263,8,Oscar,,
264,8,Oscar,,
265,8,FilmFare,,
266,8,IITA,,
267,2,Emmy,,
268,7,National Award,,
269,1,FilmFare,,
270,1,TVStars,,
271,6,TVStars,,
272,7,IITA,,
273,1,Grammy,,
274,5,CANNES,,
275,5,National Award,,
276,1,IITA,,
277,1,Emmy,,
278,5,Grammy,,
279,7,Emmy,,
280,2,FilmFare,,
281,1,IITA,,
282,4,TVStars,,
283,8,IIFA,,
284,8,Oscar,,
285,0,IIFA,,
286,2,National Award,,
287,3,National Award,,
288,0,IITA,,
289,4,TVStars,,
290,2,FilmFare,,
291,3,National Award,,
292,2,IIFA,,
293,6,FilmFare,,
294,2,FilmFare,,
295,2,CANNES,,
296,6,IITA,,
297,2,IIFA,,
298,8,CANNES,,
299,4,Emmy,,
300,3,Grammy,,
301,4,IIFA,,
302,7,National Award,,
303,3,National Award,,
304,3,IIFA,,
305,2,IITA,,
306,2,TVStars,,
307,4,IIFA,,
308,8,IIFA,,
309,4,National Award,,
310,3,National Award,,
311,8,CANNES,,
312,8,Emmy,,
313,0,National Award,,
314,1,Grammy,,
315,8,Grammy,,
316,5,Oscar,,
317,4,Oscar,,
318,5,CANNES,,
319,1,CANNES,,
320,5,Oscar,,
321,2,Emmy,,
322,3,IITA,,
323,8,TVStars,,
324,8,National Award,,
325,5,TVStars,,
326,2,TVStars,,
327,2,CANNES,,
328,8,IIFA,,
329,0,Grammy,,
330,1,IITA,,
331,0,Oscar,,
332,4,Grammy,,
333,6,Grammy,,
334,7,IIFA,,
335,7,Oscar,,
336,4,FilmFare,,
337,3,CANNES,,
338,3,Grammy,,
339,0,FilmFare,,
340,8,IITA,,
341,7,National Award,,
342,0,TVStars,,
343,3,IIFA,,
344,1,Emmy,,
345,4,IIFA,,
346,1,Oscar,,
347,7,TVStars,,
348,6,IITA,,
349,5,Oscar,,
350,4,Grammy,,
351,8,IITA,,
352,6,CANNES,,
353,4,Oscar,,
354,0,Oscar,,
355,2,TVStars,,
356,6,FilmFare,,
357,4,TVStars,,
358,2,Oscar,,
359,7,FilmFare,,
360,6,Emmy,,
361,5,National Award,,
362,8,TVStars,,
363,8,IIFA,,
364,8,TVStars,,
365,1,FilmFare,,
366,4,Oscar,,
367,4,IIFA,,
368,0,Emmy,,
369,2,CANNES,,
370,7,FilmFare,,
371,6,TVStars,,
372,4,CANNES,,
373,6,Grammy,,
374,4,Oscar,,
375,5,National Award,,
376,7,CANNES,,
377,1,IITA,,
378,2,Emmy,,
379,0,Emmy,,
380,0,Grammy,,
381,1,Emmy,,
382,4,IITA,,
383,8,FilmFare,,
384,7,CANNES,,
385,2,Oscar,,
386,8,Oscar,,
387,3,FilmFare,,
388,2,FilmFare,,
389,3,Oscar,,
390,0,Oscar,,
391,3,Emmy,,
392,7,FilmFare,,
393,7,FilmFare,,
394,1,CANNES,,
395,3,IIFA,,
396,7,Grammy,,
397,1,CANNES,,
398,1,CANNES,,
399,6,IIFA,,
400,2,Grammy,,
401,0,CANNES,,
402,4,Emmy,,
403,4,National Award,,
404,2,Emmy,,
405,7,Oscar,,
406,8,CANNES,,
407,3,Oscar,,
408,7,FilmFare,,
409,3,CANNES,,
410,6,National Award,,
411,2,Grammy,,
412,6,IITA,,
413,2,Grammy,,
414,6,IIFA,,
415,3,IITA,,
416,3,IITA,,
417,5,FilmFare,,
418,4,Emmy,,
419,3,Emmy,,
420,3,Grammy,,
421,0,National Award,,
422,7,Oscar,,
423,2,IIFA,,
424,4,IITA,,
425,8,FilmFare,,
426,2,CANNES,,
427,2,IIFA,,
428,3,IITA,,
429,1,IIFA,,
430,7,TVStars,,
431,5,CANNES,,
432,8,IIFA,,
433,5,Oscar,,
434,1,Emmy,,
435,0,CANNES,,
436,4,Emmy,,
437,0,Oscar,,
438,8,IIFA,,
439,4,IITA,,
440,1,IITA,,
441,1,TVStars,,
442,0,Emmy,,
443,0,FilmFare,,
444,2,TVStars,,
445,2,Oscar,,
446,2,IIFA,,
447,3,FilmFare,,
448,2,National Award,,
449,8,Grammy,,
450,7,IITA,,
451,1,Grammy,,
452,3,TVStars,,
453,2,TVStars,,
454,8,CANNES,,
455,1,IITA,,
456,4,FilmFare,,
457,0,TVStars,,
458,6,Grammy,,
459,4,IITA,,
460,8,TVStars,,
461,4,National Award,,
462,2,CANNES,,
463,8,Oscar,,
464,2,IIFA,,
465,4,TVStars,,
466,4,Emmy,,
467,7,CANNES,,
468,8,CANNES,,
469,6,National Award,,
470,1,Grammy,,
471,4,IIFA,,
472,7,CANNES,,
473,2,TVStars,,
474,5,IITA,,
475,1,TVStars,,
476,1,FilmFare,,
477,7,TVStars,,
478,5,IITA,,
479,4,Emmy,,
480,0,CANNES,,
481,6,IIFA,,
482,8,TVStars,,
483,0,National Award,,
484,8,Grammy,,
485,6,National Award,,
486,8,Emmy,,
487,2,IITA,,
488,0,National Award,,
489,8,IIFA,,
490,3,National Award,,
491,5,CANNES,,
492,0,CANNES,,
493,3,Emmy,,
494,6,IIFA,,
495,2,Grammy,,
496,8,Oscar,,
497,5,CANNES,,
498,4,IIFA,,
499,2,Emmy,,
500,0,IIFA,,
501,5,IITA,,
502,1,TVStars,,
503,5,IIFA,,
504,6,IITA,,
505,3,IITA,,
506,6,TVStars,,
507,7,CANNES,,
508,6,National Award,,
509,7,IITA,,
510,4,Grammy,,
511,2,IITA,,
512,6,TVStars,,
513,0,IIFA,,
514,8,IIFA,,
515,1,CANNES,,
516,5,Oscar,,
517,5,TVStars,,
518,7,National Award,,
519,6,FilmFare,,
520,1,IITA,,
521,3,CANNES,,
522,7,Grammy,,
523,2,Oscar,,
524,4,Grammy,,
525,5,Grammy,,
526,4,TVStars,,
527,4,Emmy,,
528,8,Emmy,,
529,3,IIFA,,
530,7,TVStars,,
531,5,Oscar,,
532,1,National Award,,
533,8,CANNES,,
534,1,IITA,,
535,5,Emmy,,
536,2,IIFA,,
537,3,Emmy,,
538,8,IITA,,
539,4,Oscar,,
540,5,TVStars,,
541,8,FilmFare,,
542,4,IITA,,
543,6,Oscar,,
544,7,Oscar,,
545,0,Oscar,,
546,5,IIFA,,
547,2,FilmFare,,
548,1,TVStars,,
549,4,National Award,,
550,7,TVStars,,
551,3,TVStars,,
552,6,Grammy,,
553,4,IIFA,,
554,2,Oscar,,
555,7,IIFA,,
556,1,IITA,,
557,4,IIFA,,
558,8,Oscar,,
559,7,National Award,,
560,2,TVStars,,
561,2,IITA,,
562,6,IITA,,
563,0,IITA,,
564,6,Oscar,,
565,2,Grammy,,
566,5,IIFA,,
567,7,CANNES,,
568,1,TVStars,,
569,6,FilmFare,,
570,8,FilmFare,,
571,4,National Award,,
572,6,Emmy,,
573,1,Grammy,,
574,2,FilmFare,,
575,2,FilmFare,,
576,8,Grammy,,
577,0,IITA,,
578,3,IITA,,
579,5,TVStars,,
580,2,CANNES,,
581,2,IIFA,,
582,4,Emmy,,
583,2,Grammy,,
584,0,Grammy,,
585,5,National Award,,
586,3,TVStars,,
587,3,IITA,,
588,1,CANNES,,
589,3,Grammy,,
590,3,IIFA,,
591,1,Oscar,,
592,8,FilmFare,,
593,2,Emmy,,
594,0,TVStars,,
595,2,Emmy,,
596,2,Emmy,,
597,6,FilmFare,,
598,5,FilmFare,,
599,4,Grammy,,
600,8,Oscar,,
601,3,Emmy,,
602,1,IIFA,,
603,8,CANNES,,
604,6,IITA,,
605,2,IIFA,,
606,1,FilmFare,,
607,8,IIFA,,
608,5,IITA,,
609,8,Grammy,,
610,2,IIFA,,
611,1,CANNES,,
612,6,Grammy,,
613,1,FilmFare,,
614,3,FilmFare,,
615,7,TVStars,,
616,0,FilmFare,,
617,4,Emmy,,
618,8,IIFA,,
619,3,Emmy,,
620,6,IIFA,,
621,0,IIFA,,
622,0,National Award,,
623,0,IITA,,
624,8,Grammy,,
625,3,FilmFare,,
626,6,CANNES,,
627,7,National Award,,
628,1,FilmFare,,
629,3,FilmFare,,
630,8,FilmFare,,
631,5,Grammy,,
632,4,Emmy,,
633,3,Oscar,,
634,1,IIFA,,
635,8,IITA,,
636,4,CANNES,,
637,0,National Award,,
638,0,CANNES,,
639,4,TVStars,,
640,0,Grammy,,
641,4,TVStars,,
642,7,Emmy,,
643,0,National Award,,
644,1,FilmFare,,
645,6,CANNES,,
646,3,National Award,,
647,6,FilmFare,,
648,8,Grammy,,
649,1,IITA,,
650,4,Grammy,,
651,8,CANNES,,
652,8,CANNES,,
653,4,CANNES,,
654,1,Grammy,,
655,7,IIFA,,
656,0,Grammy,,
657,3,CANNES,,
658,8,Grammy,,
659,1,Oscar,,
660,1,Emmy,,
661,8,Emmy,,
662,1,Oscar,,
663,4,IITA,,
664,4,Emmy,,
665,3,IIFA,,
666,2,FilmFare,,
667,2,TVStars,,
668,6,FilmFare,,
669,7,TVStars,,
670,1,Grammy,,
671,8,Emmy,,
672,2,IITA,,
673,8,TVStars,,
674,6,CANNES,,
675,3,TVStars,,
676,2,IITA,,
677,8,Grammy,,
678,2,IIFA,,
679,1,IITA,,
680,8,FilmFare,,
681,2,FilmFare,,
682,6,FilmFare,,
683,4,IITA,,
684,7,TVStars,,
685,2,FilmFare,,
686,3,IITA,,
687,2,National Award,,
688,5,IIFA,,
689,2,Grammy,,
690,0,IIFA,,
691,5,IITA,,
692,5,National Award,,
693,7,CANNES,,
694,2,IIFA,,
695,7,Emmy,,
696,0,Grammy,,
697,7,Grammy,,
698,0,Oscar,,
699,6,National Award,,
700,2,Grammy,,
701,3,TVStars,,
702,7,IIFA,,
703,8,TVStars,,
704,3,TVStars,,
705,1,CANNES,,
706,3,CANNES,,
707,0,IITA,,
708,5,IITA,,
709,6,IITA,,
710,7,Oscar,,
711,3,Grammy,,
712,2,Emmy,,
713,2,Oscar,,
714,4,IIFA,,
715,0,Grammy,,
716,0,IIFA,,
717,2,CANNES,,
718,4,National Award,,
719,6,Grammy,,
720,0,IIFA,,
721,5,National Award,,
722,2,CANNES,,
723,5,FilmFare,,
724,3,FilmFare,,
725,1,Grammy,,
726,3,FilmFare,,
727,7,Grammy,,
728,6,National Award,,
729,1,FilmFare,,
730,7,National Award,,
731,0,Emmy,,
732,7,FilmFare,,
733,0,Grammy,,
734,7,National Award,,
735,3,Emmy,,
736,2,IITA,,
737,8,Oscar,,
738,8,Emmy,,
739,3,Grammy,,
740,4,CANNES,,
741,5,Grammy,,
742,5,IIFA,,
743,1,IIFA,,
744,3,IIFA,,
745,2,IIFA,,
746,1,CANNES,,
747,6,IIFA,,
748,8,Grammy,,
749,0,FilmFare,,
750,2,TVStars,,
751,6,Oscar,,
752,4,Grammy,,
753,3,TVStars,,
754,0,IITA,,
755,0,FilmFare,,
756,0,National Award,,
757,8,IIFA,,
758,5,National Award,,
759,1,Grammy,,
760,3,IITA,,
761,1,CANNES,,
762,7,CANNES,,
763,5,Oscar,,
764,8,Grammy,,
765,2,TVStars,,
766,8,National Award,,
767,3,TVStars,,
768,6,Emmy,,
769,8,National Award,,
770,8,Emmy,,
771,0,IIFA,,
772,4,FilmFare,,
773,0,FilmFare,,
774,6,TVStars,,
775,2,Oscar,,
776,5,IIFA,,
777,7,Grammy,,
778,3,Grammy,,
779,5,Emmy,,
780,2,FilmFare,,
781,5,National Award,,
782,0,Emmy,,
783,5,FilmFare,,
784,2,FilmFare,,
785,7,National Award,,
786,6,IIFA,,
787,1,TVStars,,
788,6,IIFA,,
789,7,Grammy,,
790,3,FilmFare,,
791,8,IIFA,,
792,8,CANNES,,
793,1,National Award,,
794,0,CANNES,,
795,7,Grammy,,
796,3,Oscar,,
797,3,TVStars,,
798,0,National Award,,
799,0,TVStars,,
800,8,Oscar,,
801,6,TVStars,,
802,5,National Award,,
803,0,Emmy,,
804,0,Grammy,,
805,6,IIFA,,
806,1,IITA,,
807,7,CANNES,,
808,7,TVStars,,
809,3,TVStars,,
810,4,Emmy,,
811,0,IIFA,,
812,5,Grammy,,
813,7,Emmy,,
814,1,IIFA,,
815,8,Grammy,,
816,6,National Award,,
817,6,CANNES,,
818,8,FilmFare,,
819,1,Grammy,,
820,1,Oscar,,
821,1,TVStars,,
822,1,CANNES,,
823,8,FilmFare,,
824,6,National Award,,
825,1,TVStars,,
826,5,IITA,,
827,0,National Award,,
828,3,Grammy,,
829,5,FilmFare,,
830,7,FilmFare,,
831,5,FilmFare,,
832,0,TVStars,,
833,5,IIFA,,
834,4,CANNES,,
835,2,IITA,,
836,1,IIFA,,
837,5,IIFA,,
838,0,National Award,,
839,5,TVStars,,
840,4,Grammy,,
841,8,Emmy,,
842,6,Oscar,,
843,5,Oscar,,
844,6,Grammy,,
845,0,CANNES,,
846,8,TVStars,,
847,3,Emmy,,
848,1,IITA,,
849,3,CANNES,,
850,0,IITA,,
851,2,Oscar,,
852,5,CANNES,,
853,8,Oscar,,
854,7,CANNES,,
855,1,National Award,,
856,7,TVStars,,
857,1,Grammy,,
858,8,Grammy,,
859,4,CANNES,,
860,0,Grammy,,
861,5,TVStars,,
862,0,Emmy,,
863,0,Emmy,,
864,2,FilmFare,,
865,3,National Award,,
866,3,IIFA,,
867,8,IIFA,,
868,5,CANNES,,
869,8,FilmFare,,
870,5,IITA,,
871,5,TVStars,,
872,3,IITA,,
873,2,IIFA,,
874,2,CANNES,,
875,4,National Award,,
876,1,Grammy,,
877,0,Oscar,,
878,5,IITA,,
879,8,IITA,,
880,5,IIFA,,
881,6,IIFA,,
882,2,IIFA,,
883,7,IITA,,
884,5,IIFA,,
885,2,IIFA,,
886,6,IIFA,,
887,5,TVStars,,
888,7,CANNES,,
889,6,FilmFare,,
890,5,IIFA,,
891,7,IIFA,,
892,1,Emmy,,
893,3,IITA,,
894,3,Grammy,,
895,4,CANNES,,
896,1,TVStars,,
897,7,CANNES,,
898,0,CANNES,,
899,2,IITA,,
900,8,National Award,,
901,1,FilmFare,,
902,6,Grammy,,
903,4,National Award,,
904,1,TVStars,,
905,4,Grammy,,
906,5,FilmFare,,
907,1,IIFA,,
908,7,Grammy,,
909,2,FilmFare,,
910,2,IITA,,
911,8,Emmy,,
912,1,Oscar,,
913,7,FilmFare,,
914,1,IIFA,,
915,3,Grammy,,
916,3,TVStars,,
917,0,IIFA,,
918,7,Grammy,,
919,2,IITA,,
920,6,Oscar,,
921,0,National Award,,
922,8,CANNES,,
923,1,Grammy,,
924,5,FilmFare,,
925,2,IIFA,,
926,5,National Award,,
927,1,National Award,,
928,5,IIFA,,
929,0,IIFA,,
930,8,Grammy,,
931,4,National Award,,
932,7,IITA,,
933,5,TVStars,,
934,3,TVStars,,
935,6,Oscar,,
936,8,Emmy,,
937,4,CANNES,,
938,1,Oscar,,
939,5,Emmy,,
940,0,Emmy,,
941,5,Emmy,,
942,2,IIFA,,
943,2,Oscar,,
944,7,CANNES,,
945,3,IITA,,
946,4,National Award,,
947,1,Emmy,,
948,2,CANNES,,
949,6,FilmFare,,
950,7,National Award,,
951,4,CANNES,,
952,2,Grammy,,
953,2,IITA,,
954,1,National Award,,
955,1,National Award,,
956,5,FilmFare,,
957,3,National Award,,
958,5,Emmy,,
959,1,CANNES,,
960,6,IITA,,
961,4,Grammy,,
962,2,TVStars,,
963,5,IIFA,,
964,8,IIFA,,
965,5,CANNES,,
966,8,CANNES,,
967,2,IIFA,,
968,5,National Award,,
969,4,Emmy,,
970,7,IIFA,,
971,8,Emmy,,
972,3,National Award,,
973,0,Grammy,,
974,4,FilmFare,,
975,7,National Award,,
976,4,Emmy,,
977,3,TVStars,,
978,5,National Award,,
979,2,CANNES,,
980,5,Grammy,,
981,8,FilmFare,,
982,8,Grammy,,
983,0,IIFA,,
984,4,Emmy,,
985,0,IIFA,,
986,8,IIFA,,
987,4,IIFA,,
988,7,Oscar,,
989,1,Grammy,,
990,3,National Award,,
991,5,FilmFare,,
992,4,Emmy,,
993,6,Grammy,,
994,4,National Award,,
995,0,Emmy,,
996,0,Emmy,,
997,4,Emmy,,
998,3,TVStars,,
999,1,IIFA,,
1000,4,Emmy,,
1001,1,IITA,,
1002,1,Oscar,,
1003,2,CANNES,,
1004,2,IIFA,,
1005,1,National Award,,
1006,6,Oscar,,
1007,2,Grammy,,
1008,6,CANNES,,
1009,8,IITA,,
1010,5,IIFA,,
1011,1,Oscar,,
1012,3,CANNES,,
1013,3,CANNES,,
1014,0,Oscar,,
1015,7,FilmFare,,
1016,5,National Award,,
1017,6,Grammy,,
1018,8,IITA,,
1019,5,Grammy,,
1020,3,IITA,,
1021,2,IIFA,,
1022,3,Grammy,,
1023,5,CANNES,,
1024,8,Emmy,,
1025,8,IITA,,
1026,7,FilmFare,,
1027,2,Oscar,,
1028,4,IITA,,
1029,7,CANNES,,
1030,7,CANNES,,
1031,0,National Award,,
1032,0,CANNES,,
1033,8,Oscar,,
1034,7,FilmFare,,
1035,1,IITA,,
1036,1,IITA,,
1037,8,IITA,,
1038,8,National Award,,
1039,1,National Award,,
1040,3,IITA,,
1041,1,CANNES,,
1042,3,Oscar,,
1043,5,National Award,,
1044,5,Oscar,,
1045,2,IITA,,
1046,6,TVStars,,
1047,2,TVStars,,
1048,2,National Award,,
1049,6,IIFA,,
1050,8,IIFA,,
1051,6,Grammy,,
1052,6,IIFA,,
1053,2,IIFA,,
1054,1,Emmy,,
1055,6,IITA,,
1056,3,Oscar,,
1057,5,TVStars,,
1058,5,CANNES,,
1059,0,National Award,,
1060,3,Emmy,,
1061,5,TVStars,,
1062,1,Grammy,,
1063,4,IITA,,
1064,7,National Award,,
1065,8,Oscar,,
1066,8,CANNES,,
1067,2,Grammy,,
1068,6,TVStars,,
1069,4,TVStars,,
1070,0,Oscar,,
1071,2,CANNES,,
1072,0,IITA,,
1073,4,Grammy,,
1074,4,CANNES,,
1075,6,FilmFare,,
1076,0,Oscar,,
1077,1,IIFA,,
1078,8,CANNES,,
1079,0,IIFA,,
1080,4,Oscar,,
1081,8,Grammy,,
1082,7,National Award,,
1083,7,IITA,,
1084,3,Grammy,,
1085,3,Emmy,,
1086,2,IITA,,
1087,4,IITA,,
1088,6,FilmFare,,
1089,8,Emmy,,
1090,6,CANNES,,
1091,0,Emmy,,
1092,4,FilmFare,,
1093,8,CANNES,,
1094,6,TVStars,,
1095,8,IIFA,,
1096,7,FilmFare,,
1097,0,IITA,,
1098,6,Oscar,,
1099,8,CANNES,,
1100,6,FilmFare,,
1101,8,CANNES,,
1102,5,CANNES,,
1103,0,CANNES,,
1104,2,Emmy,,
1105,6,Emmy,,
1106,3,IITA,,
1107,0,Oscar,,
1108,7,National Award,,
1109,1,CANNES,,
1110,0,IIFA,,
1111,4,Emmy,,
1112,4,Oscar,,
1113,2,IITA,,
1114,0,CANNES,,
1115,2,CANNES,,
1116,5,Oscar,,
1117,5,Emmy,,
1118,8,IITA,,
1119,8,FilmFare,,
1120,3,National Award,,
1121,4,IITA,,
1122,1,Oscar,,
1123,8,FilmFare,,
1124,6,Emmy,,
1125,7,CANNES,,
1126,7,TVStars,,
1127,6,Oscar,,
1128,0,National Award,,
1129,1,Emmy,,
1130,6,Oscar,,
1131,1,IIFA,,
1132,8,Oscar,,
1133,2,National Award,,
1134,0,FilmFare,,
1135,3,Oscar,,
1136,6,National Award,,
1137,0,CANNES,,
1138,1,National Award,,
1139,7,Grammy,,
1140,2,TVStars,,
1141,3,Grammy,,
1142,6,Grammy,,
1143,7,FilmFare,,
1144,8,TVStars,,
1145,0,National Award,,
1146,2,TVStars,,
1147,5,CANNES,,
1148,3,IIFA,,
1149,7,National Award,,
1150,2,TVStars,,
1151,7,TVStars,,
1152,4,FilmFare,,
1153,0,IIFA,,
1154,5,Grammy,,
1155,0,CANNES,,
1156,0,Grammy,,
1157,6,FilmFare,,
1158,3,Grammy,,
1159,1,IIFA,,
1160,3,Emmy,,
1161,8,IIFA,,
1162,0,Oscar,,
1163,5,IITA,,
1164,7,Grammy,,
1165,6,TVStars,,
1166,6,FilmFare,,
1167,6,IITA,,
1168,6,Oscar,,
1169,4,Emmy,,
1170,8,CANNES,,
1171,2,CANNES,,
1172,6,FilmFare,,
1173,7,National Award,,
1174,8,National Award,,
1175,7,Oscar,,
1176,1,TVStars,,
1177,4,National Award,,
1178,1,IIFA,,
1179,8,FilmFare,,
1180,2,FilmFare,,
1181,8,Emmy,,
1182,2,National Award,,
1183,8,Grammy,,
1184,4,Emmy,,
1185,2,IITA,,
1186,8,IITA,,
1187,4,FilmFare,,
1188,3,TVStars,,
1189,8,TVStars,,
1190,4,Oscar,,
1191,5,TVStars,,
1192,7,IITA,,
1193,2,IITA,,
1194,1,CANNES,,
1195,5,Oscar,,
1196,6,IITA,,
1197,0,IITA,,
1198,2,IIFA,,
1199,6,IIFA,,
1200,5,National Award,,
1201,4,Emmy,,
1202,5,National Award,,
1203,0,IIFA,,
1204,1,National Award,,
1205,3,TVStars,,
1206,3,FilmFare,,
1207,4,IIFA,,
1208,7,Emmy,,
1209,6,IITA,,
1210,7,IIFA,,
1211,5,IITA,,
1212,0,National Award,,
1213,4,IIFA,,
1214,3,CANNES,,
1215,5,CANNES,,
1216,7,Emmy,,
1217,4,FilmFare,,
1218,2,National Award,,
1219,7,CANNES,,
1220,1,National Award,,
1221,7,CANNES,,
1222,0,Emmy,,
1223,1,TVStars,,
1224,5,Emmy,,
1225,5,Oscar,,
1226,1,IITA,,
1227,8,TVStars,,
1228,7,CANNES,,
1229,0,CANNES,,
1230,4,FilmFare,,
1231,2,IITA,,
1232,3,TVStars,,
1233,5,Grammy,,
1234,7,Emmy,,
1235,3,National Award,,
1236,0,CANNES,,
1237,1,Emmy,,
1238,3,National Award,,
1239,2,Grammy,,
1240,2,Grammy,,
1241,3,FilmFare,,
1242,7,National Award,,
1243,5,Emmy,,
1244,8,National Award,,
1245,0,IIFA,,
1246,5,Emmy,,
1247,3,Grammy,,
1248,6,IITA,,
1249,5,IIFA,,
1250,7,National Award,,
1251,8,Grammy,,
1252,2,IIFA,,
1253,1,IITA,,
1254,8,TVStars,,
1255,1,IITA,,
1256,5,IITA,,
1257,5,CANNES,,
1258,7,Grammy,,
